Age,Sex,Religion
28,Female,Christian
52,Female,Christian
39,Male,Christian
28,Male,Christian
41,Male,No religion
69,Female,No religion
69,Female,No religion
19,Male,No religion
24,Male,Christian
54,Female,No religion
51,Female,Muslim
73,Male,Christian
62,Male,Christian
47,Male,No religion
34,Male,Hindu
48,Female,Christian
50,Female,Christian
52,Female,Christian
33,Male,Christian
89,Female,Christian
38,Male,No religion
46,Female,Christian
38,Female,No religion
34,Female,No religion
75,Male,Christian
48,Male,Christian
59,Female,No religion
31,Male,No religion
68,Male,No religion
42,Female,No religion
46,Female,Not answered
23,Female,No religion
42,Male,No religion
48,Female,Hindu
36,Male,Christian
31,Female,Jewish
40,Female,No religion
58,Female,Christian
29,Male,Christian
55,Female,Not answered
73,Female,Not answered
73,Female,No religion
29,Female,Christian
74,Female,Christian
29,Female,Christian
18,Male,Christian
60,Female,Muslim
41,Female,Not answered
29,Female,Muslim
50,Female,Christian
36,Male,No religion
35,Male,No religion
61,Female,Christian
41,Male,No religion
67,Male,No religion
35,Male,Not answered
61,Female,No religion
20,Female,No religion
46,Male,No religion
27,Female,Christian
52,Female,Christian
58,Female,No religion
53,Male,Christian
61,Male,Christian
26,Female,Christian
28,Female,No religion
18,Female,No religion
44,Female,Christian
72,Female,Muslim
19,Male,Hindu
18,Male,No religion
33,Female,No religion
59,Male,Muslim
54,Female,Christian
46,Female,No religion
67,Female,Christian
90,Male,Muslim
21,Female,Christian
52,Male,No religion
54,Female,Christian
31,Male,Christian
19,Male,No religion
53,Female,Christian
43,Male,Christian
61,Female,No religion
24,Male,Christian
59,Female,Christian
90,Female,Christian
67,Female,Christian
58,Female,Not answered
63,Male,Christian
54,Female,Christian
35,Male,Christian
40,Male,Not answered
23,Male,Christian
53,Female,Christian
44,Male,Christian
60,Female,Christian
29,Male,Christian
31,Male,No religion
56,Female,No religion
51,Female,No religion
62,Male,Christian
75,Male,Christian
57,Male,No religion
42,Female,No religion
85,Female,No religion
40,Female,No religion
52,Male,No religion
80,Female,Christian
60,Female,No religion
65,Male,Christian
56,Female,Christian
68,Male,Christian
55,Female,Christian
25,Female,No religion
19,Male,Christian
63,Female,Muslim
67,Female,No religion
44,Female,No religion
54,Male,Christian
37,Male,Christian
57,Female,Christian
50,Female,Sikh
79,Female,No religion
49,Female,Christian
41,Male,No religion
60,Male,Christian
90,Male,Christian
68,Female,No religion
45,Male,No religion
36,Male,Christian
65,Male,Not answered
20,Male,Not answered
33,Female,Muslim
65,Male,Muslim
81,Female,Christian
61,Female,Muslim
42,Female,No religion
48,Male,Christian
69,Male,Christian
71,Female,No religion
26,Male,Christian
27,Male,No religion
60,Female,Christian
27,Male,No religion
33,Male,No religion
40,Male,No religion
66,Female,No religion
54,Female,Christian
55,Female,No religion
40,Female,Christian
23,Male,Christian
25,Female,Christian
82,Female,Christian
30,Female,No religion
32,Male,Christian
40,Male,Christian
24,Female,Muslim
78,Male,Christian
37,Female,No religion
34,Female,Other religion
26,Male,Christian
50,Male,Christian
63,Male,Christian
76,Female,Christian
20,Female,Christian
63,Female,No religion
64,Male,No religion
32,Male,Christian
30,Male,Christian
30,Female,Not answered
33,Female,Christian
43,Male,Christian
58,Female,Christian
67,Male,No religion
57,Male,No religion
74,Female,Christian
62,Male,No religion
29,Female,Muslim
42,Male,Not answered
33,Female,Christian
84,Female,Other religion
29,Male,Christian
34,Female,Muslim
68,Female,Christian
39,Male,Christian
19,Female,No religion
71,Female,No religion
30,Female,Christian
90,Male,Christian
79,Male,Christian
