respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,4,,,20260909002
2,52,Female,Christian,Married,No,Had COVID,1,,,20260909002
3,39,Male,Christian,Married,Yes,None,2,3,Communitarianism,20260909002
4,28,Male,Christian,Single,No,Had COVID,3,,,20260909002
5,41,Male,No religion,Single,Yes,None,2,,,20260909002
6,69,Female,No religion,Married,Yes,None,3,,,20260909002
7,69,Female,No religion,Married,No,Had COVID,3,,,20260909002
8,19,Male,No religion,Single,No,None,4,,,20260909002
9,24,Male,Christian,Single,No,Bereaved,4,,,20260909002
10,54,Female,No religion,Divorced,No,Had COVID,3,,,20260909002
11,51,Female,Muslim,Married,No,None,1,,,20260909002
12,73,Male,Christian,Single,No,None,4,4,Conspiracy Ideation,20260909002
13,62,Male,Christian,Divorced,No,Bereaved,1,,,20260909002
14,47,Male,No religion,Separated,No,Had COVID,2,,,20260909002
15,34,Male,Hindu,Single,No,Had COVID,3,,,20260909002
16,48,Female,Christian,Single,Yes,Had COVID,1,,,20260909002
17,50,Female,Christian,Married,No,Bereaved,4,,,20260909002
18,52,Female,Christian,Married,No,Had COVID,1,,,20260909002
19,33,Male,Christian,Married,No,Had COVID,3,,,20260909002
20,89,Female,Christian,Married,No,None,1,,,20260909002
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909002
22,46,Female,Christian,Single,Yes,Long COVID,4,,,20260909002
23,38,Female,No religion,Widowed,Yes,None,1,,,20260909002
24,34,Female,No religion,Married,Yes,None,1,,,20260909002
25,75,Male,Christian,Single,No,Had COVID,4,,,20260909002
26,48,Male,Christian,Divorced,No,Bereaved,2,,,20260909002
27,59,Female,No religion,Married,No,Bereaved,2,2,Libertarianism,20260909002
28,31,Male,No religion,Single,Yes,Had COVID,2,,,20260909002
29,68,Male,No religion,Married,No,Had COVID,4,,,20260909002
30,42,Female,No religion,Married,Yes,None,2,,,20260909002
31,46,Female,Not answered,Married,No,Had COVID,1,,,20260909002
32,23,Female,No religion,Single,No,Had COVID,2,,,20260909002
