respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,1,,,20260909008
2,52,Female,Christian,Married,No,Had COVID,2,4,Conspiracy Ideation,20260909008
3,39,Male,Christian,Married,Yes,None,3,,,20260909008
4,28,Male,Christian,Single,No,Had COVID,4,,,20260909008
5,41,Male,No religion,Single,Yes,None,2,,,20260909008
6,69,Female,No religion,Married,Yes,None,4,,,20260909008
7,69,Female,No religion,Married,No,Had COVID,1,,,20260909008
8,19,Male,No religion,Single,No,None,4,,,20260909008
9,24,Male,Christian,Single,No,Bereaved,3,,,20260909008
10,54,Female,No religion,Divorced,No,Had COVID,2,,,20260909008
11,51,Female,Muslim,Married,No,None,3,,,20260909008
12,73,Male,Christian,Single,No,None,3,,,20260909008
13,62,Male,Christian,Divorced,No,Bereaved,2,,,20260909008
14,47,Male,No religion,Separated,No,Had COVID,4,,,20260909008
15,34,Male,Hindu,Single,No,Had COVID,2,,,20260909008
16,48,Female,Christian,Single,Yes,Had COVID,4,,,20260909008
17,50,Female,Christian,Married,No,Bereaved,1,,,20260909008
18,52,Female,Christian,Married,No,Had COVID,4,,,20260909008
19,33,Male,Christian,Married,No,Had COVID,4,,,20260909008
20,89,Female,Christian,Married,No,None,1,,,20260909008
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909008
22,46,Female,Christian,Single,Yes,Long COVID,1,,,20260909008
23,38,Female,No religion,Widowed,Yes,None,3,,,20260909008
24,34,Female,No religion,Married,Yes,None,4,,,20260909008
25,75,Male,Christian,Single,No,Had COVID,1,,,20260909008
26,48,Male,Christian,Divorced,No,Bereaved,1,,,20260909008
27,59,Female,No religion,Married,No,Bereaved,4,,,20260909008
28,31,Male,No religion,Single,Yes,Had COVID,1,,,20260909008
29,68,Male,No religion,Married,No,Had COVID,1,,,20260909008
30,42,Female,No religion,Married,Yes,None,3,,,20260909008
31,46,Female,Not answered,Married,No,Had COVID,2,,,20260909008
32,23,Female,No religion,Single,No,Had COVID,1,5,Institutional Trust and Technocratic Governance,20260909008
33,42,Male,No religion,Single,Yes,Had COVID,3,,,20260909008
34,48,Female,Hindu,Married,Yes,Bereaved,2,,,20260909008
35,36,Male,Christian,Single,No,Bereaved,4,,,20260909008
36,31,Female,Jewish,Single,Yes,Had COVID,4,5,Institutional Trust and Technocratic Governance,20260909008
37,40,Female,No religion,Married,Yes,Had COVID,3,,,20260909008
38,58,Female,Christian,Divorced,No,Had COVID,3,,,20260909008
39,29,Male,Christian,Divorced,Yes,Had COVID,3,,,20260909008
40,55,Female,Not answered,Married,No,None,1,,,20260909008
41,73,Female,Not answered,Single,No,None,4,,,20260909008
42,73,Female,No religion,Widowed,No,Bereaved,4,,,20260909008
43,29,Female,Christian,Single,No,None,4,,,20260909008
44,74,Female,Christian,Married,No,Had COVID,1,,,20260909008
45,29,Female,Christian,Married,No,None,2,,,20260909008
46,18,Male,Christian,Single,No,None,2,,,20260909008
47,60,Female,Muslim,Single,No,Had COVID,4,,,20260909008
48,41,Female,Not answered,Single,Yes,None,4,,,20260909008
49,29,Female,Muslim,Single,Yes,Bereaved,4,,,20260909008
50,50,Female,Christian,Married,No,Had COVID,4,,,20260909008
51,36,Male,No religion,Single,Yes,Long COVID,1,,,20260909008
52,35,Male,No religion,Married,No,None,4,,,20260909008
53,61,Female,Christian,Married,No,None,3,,,20260909008
54,41,Male,No religion,Married,Yes,Had COVID,1,,,20260909008
55,67,Male,No religion,Married,No,Had COVID,4,,,20260909008
56,35,Male,Not answered,Single,No,None,1,,,20260909008
57,61,Female,No religion,Married,No,None,4,3,Communitarianism,20260909008
58,20,Female,No religion,Single,No,None,1,,,20260909008
59,46,Male,No religion,Single,Yes,Had COVID,2,,,20260909008
60,27,Female,Christian,Single,No,Had COVID,1,,,20260909008
61,52,Female,Christian,Married,No,None,1,,,20260909008
62,58,Female,No religion,Married,No,Bereaved,3,,,20260909008
63,53,Male,Christian,Married,No,None,4,,,20260909008
64,61,Male,Christian,Married,No,None,1,,,20260909008
65,26,Female,Christian,Single,No,Long COVID,3,,,20260909008
66,28,Female,No religion,Separated,Yes,None,4,2,Libertarianism,20260909008
67,18,Female,No religion,Single,No,Bereaved,2,,,20260909008
68,44,Female,Christian,Married,No,None,4,,,20260909008
69,72,Female,Muslim,Widowed,No,None,2,,,20260909008
70,19,Male,Hindu,Single,No,None,3,,,20260909008
71,18,Male,No religion,Single,No,None,1,,,20260909008
72,33,Female,No religion,Married,Yes,Bereaved,3,3,Communitarianism,20260909008
73,59,Male,Muslim,Married,No,Bereaved,3,,,20260909008
74,54,Female,Christian,Married,Yes,None,4,,,20260909008
75,46,Female,No religion,Single,No,Had COVID,1,,,20260909008
76,67,Female,Christian,Widowed,No,Long COVID,1,5,Institutional Trust and Technocratic Governance,20260909008
77,90,Male,Muslim,Married,No,Had COVID,4,,,20260909008
78,21,Female,Christian,Single,No,None,1,,,20260909008
79,52,Male,No religion,Married,No,Had COVID,1,,,20260909008
80,54,Female,Christian,Married,No,Had COVID,2,,,20260909008
81,31,Male,Christian,Single,Yes,Had COVID,2,,,20260909008
82,19,Male,No religion,Single,No,Had COVID,2,,,20260909008
83,53,Female,Christian,Single,No,Had COVID,2,,,20260909008
84,43,Male,Christian,Single,No,Long COVID,3,,,20260909008
85,61,Female,No religion,Married,No,Had COVID,1,,,20260909008
86,24,Male,Christian,Single,No,None,1,,,20260909008
87,59,Female,Christian,Single,No,Had COVID,3,,,20260909008
