respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,1,,,20260909005
2,52,Female,Christian,Married,No,Had COVID,3,,,20260909005
3,39,Male,Christian,Married,Yes,None,3,2,Libertarianism,20260909005
4,28,Male,Christian,Single,No,Had COVID,4,,,20260909005
5,41,Male,No religion,Single,Yes,None,1,4,Conspiracy Ideation,20260909005
6,69,Female,No religion,Married,Yes,None,3,,,20260909005
7,69,Female,No religion,Married,No,Had COVID,1,,,20260909005
8,19,Male,No religion,Single,No,None,2,,,20260909005
9,24,Male,Christian,Single,No,Bereaved,4,,,20260909005
10,54,Female,No religion,Divorced,No,Had COVID,3,,,20260909005
11,51,Female,Muslim,Married,No,None,4,,,20260909005
12,73,Male,Christian,Single,No,None,4,,,20260909005
13,62,Male,Christian,Divorced,No,Bereaved,2,,,20260909005
14,47,Male,No religion,Separated,No,Had COVID,4,,,20260909005
15,34,Male,Hindu,Single,No,Had COVID,3,,,20260909005
16,48,Female,Christian,Single,Yes,Had COVID,4,,,20260909005
17,50,Female,Christian,Married,No,Bereaved,4,,,20260909005
18,52,Female,Christian,Married,No,Had COVID,3,,,20260909005
19,33,Male,Christian,Married,No,Had COVID,2,,,20260909005
20,89,Female,Christian,Married,No,None,4,5,Institutional Trust and Technocratic Governance,20260909005
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909005
22,46,Female,Christian,Single,Yes,Long COVID,1,,,20260909005
23,38,Female,No religion,Widowed,Yes,None,1,,,20260909005
24,34,Female,No religion,Married,Yes,None,3,,,20260909005
25,75,Male,Christian,Single,No,Had COVID,3,,,20260909005
26,48,Male,Christian,Divorced,No,Bereaved,1,,,20260909005
27,59,Female,No religion,Married,No,Bereaved,4,,,20260909005
28,31,Male,No religion,Single,Yes,Had COVID,2,,,20260909005
29,68,Male,No religion,Married,No,Had COVID,2,,,20260909005
30,42,Female,No religion,Married,Yes,None,1,,,20260909005
31,46,Female,Not answered,Married,No,Had COVID,4,,,20260909005
32,23,Female,No religion,Single,No,Had COVID,4,,,20260909005
33,42,Male,No religion,Single,Yes,Had COVID,4,,,20260909005
34,48,Female,Hindu,Married,Yes,Bereaved,2,,,20260909005
35,36,Male,Christian,Single,No,Bereaved,4,,,20260909005
36,31,Female,Jewish,Single,Yes,Had COVID,4,,,20260909005
37,40,Female,No religion,Married,Yes,Had COVID,3,,,20260909005
38,58,Female,Christian,Divorced,No,Had COVID,2,,,20260909005
39,29,Male,Christian,Divorced,Yes,Had COVID,1,,,20260909005
40,55,Female,Not answered,Married,No,None,2,,,20260909005
41,73,Female,Not answered,Single,No,None,3,3,Communitarianism,20260909005
42,73,Female,No religion,Widowed,No,Bereaved,3,,,20260909005
43,29,Female,Christian,Single,No,None,4,,,20260909005
44,74,Female,Christian,Married,No,Had COVID,3,2,Libertarianism,20260909005
45,29,Female,Christian,Married,No,None,2,,,20260909005
46,18,Male,Christian,Single,No,None,1,,,20260909005
47,60,Female,Muslim,Single,No,Had COVID,2,,,20260909005
48,41,Female,Not answered,Single,Yes,None,2,,,20260909005
49,29,Female,Muslim,Single,Yes,Bereaved,1,,,20260909005
50,50,Female,Christian,Married,No,Had COVID,4,,,20260909005
51,36,Male,No religion,Single,Yes,Long COVID,1,,,20260909005
52,35,Male,No religion,Married,No,None,2,,,20260909005
53,61,Female,Christian,Married,No,None,3,,,20260909005
54,41,Male,No religion,Married,Yes,Had COVID,2,,,20260909005
55,67,Male,No religion,Married,No,Had COVID,2,1,Scientific Rationalism,20260909005
56,35,Male,Not answered,Single,No,None,2,,,20260909005
57,61,Female,No religion,Married,No,None,2,,,20260909005
58,20,Female,No religion,Single,No,None,1,,,20260909005
59,46,Male,No religion,Single,Yes,Had COVID,4,,,20260909005
60,27,Female,Christian,Single,No,Had COVID,3,4,Conspiracy Ideation,20260909005
61,52,Female,Christian,Married,No,None,4,,,20260909005
62,58,Female,No religion,Married,No,Bereaved,2,,,20260909005
63,53,Male,Christian,Married,No,None,2,4,Conspiracy Ideation,20260909005
64,61,Male,Christian,Married,No,None,2,5,Institutional Trust and Technocratic Governance,20260909005
65,26,Female,Christian,Single,No,Long COVID,3,,,20260909005
66,28,Female,No religion,Separated,Yes,None,3,,,20260909005
67,18,Female,No religion,Single,No,Bereaved,2,,,20260909005
68,44,Female,Christian,Married,No,None,1,,,20260909005
69,72,Female,Muslim,Widowed,No,None,2,,,20260909005
70,19,Male,Hindu,Single,No,None,3,,,20260909005
71,18,Male,No religion,Single,No,None,3,,,20260909005
72,33,Female,No religion,Married,Yes,Bereaved,2,,,20260909005
73,59,Male,Muslim,Married,No,Bereaved,1,,,20260909005
74,54,Female,Christian,Married,Yes,None,2,,,20260909005
75,46,Female,No religion,Single,No,Had COVID,3,,,20260909005
76,67,Female,Christian,Widowed,No,Long COVID,2,,,20260909005
77,90,Male,Muslim,Married,No,Had COVID,1,,,20260909005
78,21,Female,Christian,Single,No,None,3,,,20260909005
79,52,Male,No religion,Married,No,Had COVID,4,,,20260909005
80,54,Female,Christian,Married,No,Had COVID,4,,,20260909005
81,31,Male,Christian,Single,Yes,Had COVID,2,,,20260909005
82,19,Male,No religion,Single,No,Had COVID,3,,,20260909005
83,53,Female,Christian,Single,No,Had COVID,2,,,20260909005
84,43,Male,Christian,Single,No,Long COVID,1,4,Conspiracy Ideation,20260909005
85,61,Female,No religion,Married,No,Had COVID,3,,,20260909005
86,24,Male,Christian,Single,No,None,3,,,20260909005
87,59,Female,Christian,Single,No,Had COVID,3,,,20260909005
88,90,Female,Christian,Divorced,No,Bereaved,1,,,20260909005
89,67,Female,Christian,Widowed,No,Had COVID,3,3,Communitarianism,20260909005
90,58,Female,Not answered,Divorced,No,Bereaved,1,,,20260909005
91,63,Male,Christian,Married,No,Had COVID,4,4,Conspiracy Ideation,20260909005
92,54,Female,Christian,Widowed,No,None,4,,,20260909005
93,35,Male,Christian,Married,Yes,Bereaved,4,,,20260909005
94,40,Male,Not answered,Married,No,Had COVID,4,,,20260909005
95,23,Male,Christian,Single,Yes,None,4,,,20260909005
96,53,Female,Christian,Married,No,Had COVID,3,,,20260909005
97,44,Male,Christian,Single,No,None,2,2,Libertarianism,20260909005
98,60,Female,Christian,Divorced,No,None,3,,,20260909005
99,29,Male,Christian,Single,No,Had COVID,4,,,20260909005
100,31,Male,No religion,Married,No,Had COVID,2,,,20260909005
101,56,Female,No religion,Married,No,Had COVID,4,,,20260909005
102,51,Female,No religion,Divorced,No,None,1,,,20260909005
103,62,Male,Christian,Married,No,Had COVID,3,,,20260909005
104,75,Male,Christian,Widowed,No,None,2,,,20260909005
105,57,Male,No religion,Married,No,Bereaved,4,,,20260909005
106,42,Female,No religion,Married,No,Had COVID,1,,,20260909005
107,85,Female,No religion,Widowed,No,None,1,,,20260909005
108,40,Female,No religion,Married,Yes,None,3,,,20260909005
109,52,Male,No religion,Married,No,Had COVID,2,,,20260909005
110,80,Female,Christian,Widowed,No,Bereaved,3,,,20260909005
111,60,Female,No religion,Married,No,Had COVID,2,,,20260909005
112,65,Male,Christian,Married,No,Had COVID,4,,,20260909005
113,56,Female,Christian,Married,No,Had COVID,3,,,20260909005
114,68,Male,Christian,Married,No,Had COVID,1,,,20260909005
115,55,Female,Christian,Divorced,No,None,2,,,20260909005
116,25,Female,No religion,Single,No,Had COVID,1,,,20260909005
117,19,Male,Christian,Single,No,None,3,,,20260909005
