respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,2,,,20260909009
2,52,Female,Christian,Married,No,Had COVID,1,,,20260909009
3,39,Male,Christian,Married,Yes,None,2,,,20260909009
4,28,Male,Christian,Single,No,Had COVID,2,,,20260909009
5,41,Male,No religion,Single,Yes,None,4,,,20260909009
6,69,Female,No religion,Married,Yes,None,4,,,20260909009
7,69,Female,No religion,Married,No,Had COVID,2,,,20260909009
8,19,Male,No religion,Single,No,None,1,,,20260909009
9,24,Male,Christian,Single,No,Bereaved,1,,,20260909009
10,54,Female,No religion,Divorced,No,Had COVID,4,,,20260909009
11,51,Female,Muslim,Married,No,None,3,,,20260909009
12,73,Male,Christian,Single,No,None,1,,,20260909009
13,62,Male,Christian,Divorced,No,Bereaved,3,4,Conspiracy Ideation,20260909009
14,47,Male,No religion,Separated,No,Had COVID,3,5,Institutional Trust and Technocratic Governance,20260909009
15,34,Male,Hindu,Single,No,Had COVID,4,,,20260909009
16,48,Female,Christian,Single,Yes,Had COVID,4,,,20260909009
17,50,Female,Christian,Married,No,Bereaved,3,1,Scientific Rationalism,20260909009
18,52,Female,Christian,Married,No,Had COVID,4,,,20260909009
19,33,Male,Christian,Married,No,Had COVID,4,,,20260909009
20,89,Female,Christian,Married,No,None,1,,,20260909009
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909009
22,46,Female,Christian,Single,Yes,Long COVID,2,,,20260909009
23,38,Female,No religion,Widowed,Yes,None,4,,,20260909009
24,34,Female,No religion,Married,Yes,None,3,3,Communitarianism,20260909009
25,75,Male,Christian,Single,No,Had COVID,4,5,Institutional Trust and Technocratic Governance,20260909009
26,48,Male,Christian,Divorced,No,Bereaved,3,,,20260909009
27,59,Female,No religion,Married,No,Bereaved,4,,,20260909009
28,31,Male,No religion,Single,Yes,Had COVID,2,,,20260909009
29,68,Male,No religion,Married,No,Had COVID,1,,,20260909009
30,42,Female,No religion,Married,Yes,None,2,1,Scientific Rationalism,20260909009
31,46,Female,Not answered,Married,No,Had COVID,3,,,20260909009
32,23,Female,No religion,Single,No,Had COVID,2,,,20260909009
33,42,Male,No religion,Single,Yes,Had COVID,3,,,20260909009
34,48,Female,Hindu,Married,Yes,Bereaved,1,1,Scientific Rationalism,20260909009
35,36,Male,Christian,Single,No,Bereaved,2,,,20260909009
36,31,Female,Jewish,Single,Yes,Had COVID,4,,,20260909009
37,40,Female,No religion,Married,Yes,Had COVID,1,,,20260909009
38,58,Female,Christian,Divorced,No,Had COVID,2,,,20260909009
39,29,Male,Christian,Divorced,Yes,Had COVID,2,,,20260909009
40,55,Female,Not answered,Married,No,None,1,,,20260909009
41,73,Female,Not answered,Single,No,None,2,,,20260909009
42,73,Female,No religion,Widowed,No,Bereaved,2,,,20260909009
43,29,Female,Christian,Single,No,None,1,,,20260909009
44,74,Female,Christian,Married,No,Had COVID,3,,,20260909009
45,29,Female,Christian,Married,No,None,2,,,20260909009
46,18,Male,Christian,Single,No,None,1,,,20260909009
47,60,Female,Muslim,Single,No,Had COVID,1,,,20260909009
48,41,Female,Not answered,Single,Yes,None,2,,,20260909009
49,29,Female,Muslim,Single,Yes,Bereaved,3,,,20260909009
50,50,Female,Christian,Married,No,Had COVID,4,,,20260909009
51,36,Male,No religion,Single,Yes,Long COVID,1,,,20260909009
52,35,Male,No religion,Married,No,None,2,,,20260909009
53,61,Female,Christian,Married,No,None,4,,,20260909009
54,41,Male,No religion,Married,Yes,Had COVID,1,,,20260909009
55,67,Male,No religion,Married,No,Had COVID,1,,,20260909009
56,35,Male,Not answered,Single,No,None,4,,,20260909009
57,61,Female,No religion,Married,No,None,3,5,Institutional Trust and Technocratic Governance,20260909009
58,20,Female,No religion,Single,No,None,3,,,20260909009
59,46,Male,No religion,Single,Yes,Had COVID,2,,,20260909009
60,27,Female,Christian,Single,No,Had COVID,2,,,20260909009
61,52,Female,Christian,Married,No,None,1,,,20260909009
62,58,Female,No religion,Married,No,Bereaved,2,,,20260909009
63,53,Male,Christian,Married,No,None,4,,,20260909009
64,61,Male,Christian,Married,No,None,3,,,20260909009
65,26,Female,Christian,Single,No,Long COVID,2,,,20260909009
66,28,Female,No religion,Separated,Yes,None,2,,,20260909009
67,18,Female,No religion,Single,No,Bereaved,1,,,20260909009
68,44,Female,Christian,Married,No,None,4,,,20260909009
69,72,Female,Muslim,Widowed,No,None,2,,,20260909009
70,19,Male,Hindu,Single,No,None,2,,,20260909009
71,18,Male,No religion,Single,No,None,1,,,20260909009
72,33,Female,No religion,Married,Yes,Bereaved,2,,,20260909009
73,59,Male,Muslim,Married,No,Bereaved,1,,,20260909009
74,54,Female,Christian,Married,Yes,None,2,,,20260909009
75,46,Female,No religion,Single,No,Had COVID,4,,,20260909009
76,67,Female,Christian,Widowed,No,Long COVID,3,,,20260909009
77,90,Male,Muslim,Married,No,Had COVID,3,,,20260909009
78,21,Female,Christian,Single,No,None,2,,,20260909009
79,52,Male,No religion,Married,No,Had COVID,1,,,20260909009
80,54,Female,Christian,Married,No,Had COVID,3,,,20260909009
81,31,Male,Christian,Single,Yes,Had COVID,4,,,20260909009
82,19,Male,No religion,Single,No,Had COVID,2,3,Communitarianism,20260909009
83,53,Female,Christian,Single,No,Had COVID,4,,,20260909009
84,43,Male,Christian,Single,No,Long COVID,1,,,20260909009
85,61,Female,No religion,Married,No,Had COVID,1,,,20260909009
86,24,Male,Christian,Single,No,None,2,,,20260909009
87,59,Female,Christian,Single,No,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909009
88,90,Female,Christian,Divorced,No,Bereaved,2,,,20260909009
89,67,Female,Christian,Widowed,No,Had COVID,4,,,20260909009
90,58,Female,Not answered,Divorced,No,Bereaved,2,,,20260909009
91,63,Male,Christian,Married,No,Had COVID,3,,,20260909009
92,54,Female,Christian,Widowed,No,None,4,,,20260909009
93,35,Male,Christian,Married,Yes,Bereaved,1,,,20260909009
94,40,Male,Not answered,Married,No,Had COVID,1,,,20260909009
95,23,Male,Christian,Single,Yes,None,3,4,Conspiracy Ideation,20260909009
96,53,Female,Christian,Married,No,Had COVID,2,,,20260909009
97,44,Male,Christian,Single,No,None,2,,,20260909009
98,60,Female,Christian,Divorced,No,None,3,,,20260909009
99,29,Male,Christian,Single,No,Had COVID,4,,,20260909009
100,31,Male,No religion,Married,No,Had COVID,4,,,20260909009
101,56,Female,No religion,Married,No,Had COVID,2,,,20260909009
102,51,Female,No religion,Divorced,No,None,1,,,20260909009
103,62,Male,Christian,Married,No,Had COVID,1,,,20260909009
104,75,Male,Christian,Widowed,No,None,3,4,Conspiracy Ideation,20260909009
105,57,Male,No religion,Married,No,Bereaved,3,,,20260909009
106,42,Female,No religion,Married,No,Had COVID,3,,,20260909009
107,85,Female,No religion,Widowed,No,None,3,,,20260909009
108,40,Female,No religion,Married,Yes,None,3,,,20260909009
109,52,Male,No religion,Married,No,Had COVID,4,,,20260909009
110,80,Female,Christian,Widowed,No,Bereaved,4,,,20260909009
111,60,Female,No religion,Married,No,Had COVID,2,,,20260909009
112,65,Male,Christian,Married,No,Had COVID,3,,,20260909009
113,56,Female,Christian,Married,No,Had COVID,3,,,20260909009
114,68,Male,Christian,Married,No,Had COVID,2,,,20260909009
115,55,Female,Christian,Divorced,No,None,2,,,20260909009
116,25,Female,No religion,Single,No,Had COVID,2,,,20260909009
117,19,Male,Christian,Single,No,None,4,5,Institutional Trust and Technocratic Governance,20260909009
118,63,Female,Muslim,Married,No,Had COVID,1,5,Institutional Trust and Technocratic Governance,20260909009
119,67,Female,No religion,Divorced,No,Had COVID,1,,,20260909009
120,44,Female,No religion,Divorced,Yes,None,1,,,20260909009
121,54,Male,Christian,Married,Yes,None,3,,,20260909009
122,37,Male,Christian,Married,Yes,Had COVID,4,,,20260909009
123,57,Female,Christian,Married,No,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909009
124,50,Female,Sikh,Divorced,Yes,Had COVID,2,,,20260909009
125,79,Female,No religion,Widowed,No,None,3,,,20260909009
126,49,Female,Christian,Married,Yes,Had COVID,4,,,20260909009
127,41,Male,No religion,Single,Yes,Had COVID,1,,,20260909009
128,60,Male,Christian,Divorced,No,Bereaved,2,,,20260909009
129,90,Male,Christian,Married,No,None,2,,,20260909009
130,68,Female,No religion,Divorced,No,Bereaved,1,,,20260909009
131,45,Male,No religion,Married,Yes,Had COVID,1,,,20260909009
132,36,Male,Christian,Married,No,None,1,1,Scientific Rationalism,20260909009
133,65,Male,Not answered,Married,No,None,4,,,20260909009
134,20,Male,Not answered,Single,No,None,4,,,20260909009
135,33,Female,Muslim,Separated,Yes,Bereaved,1,1,Scientific Rationalism,20260909009
136,65,Male,Muslim,Widowed,No,Had COVID,3,,,20260909009
