respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,4,,,20260909
2,52,Female,Christian,Married,No,Had COVID,2,,,20260909
3,39,Male,Christian,Married,Yes,None,3,,,20260909
4,28,Male,Christian,Single,No,Had COVID,4,,,20260909
5,41,Male,No religion,Single,Yes,None,3,,,20260909
6,69,Female,No religion,Married,Yes,None,1,2,Libertarianism,20260909
7,69,Female,No religion,Married,No,Had COVID,4,,,20260909
8,19,Male,No religion,Single,No,None,2,,,20260909
9,24,Male,Christian,Single,No,Bereaved,4,,,20260909
10,54,Female,No religion,Divorced,No,Had COVID,4,,,20260909
11,51,Female,Muslim,Married,No,None,2,,,20260909
12,73,Male,Christian,Single,No,None,3,,,20260909
13,62,Male,Christian,Divorced,No,Bereaved,1,,,20260909
14,47,Male,No religion,Separated,No,Had COVID,1,,,20260909
15,34,Male,Hindu,Single,No,Had COVID,2,,,20260909
16,48,Female,Christian,Single,Yes,Had COVID,3,4,Conspiracy Ideation,20260909
17,50,Female,Christian,Married,No,Bereaved,2,,,20260909
18,52,Female,Christian,Married,No,Had COVID,2,,,20260909
19,33,Male,Christian,Married,No,Had COVID,2,1,Scientific Rationalism,20260909
20,89,Female,Christian,Married,No,None,2,,,20260909
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909
22,46,Female,Christian,Single,Yes,Long COVID,1,,,20260909
23,38,Female,No religion,Widowed,Yes,None,1,,,20260909
24,34,Female,No religion,Married,Yes,None,4,5,Institutional Trust and Technocratic Governance,20260909
25,75,Male,Christian,Single,No,Had COVID,3,,,20260909
26,48,Male,Christian,Divorced,No,Bereaved,4,,,20260909
27,59,Female,No religion,Married,No,Bereaved,4,5,Institutional Trust and Technocratic Governance,20260909
28,31,Male,No religion,Single,Yes,Had COVID,3,,,20260909
29,68,Male,No religion,Married,No,Had COVID,4,,,20260909
30,42,Female,No religion,Married,Yes,None,1,,,20260909
31,46,Female,Not answered,Married,No,Had COVID,1,,,20260909
32,23,Female,No religion,Single,No,Had COVID,4,4,Conspiracy Ideation,20260909
33,42,Male,No religion,Single,Yes,Had COVID,3,,,20260909
34,48,Female,Hindu,Married,Yes,Bereaved,1,,,20260909
35,36,Male,Christian,Single,No,Bereaved,3,,,20260909
36,31,Female,Jewish,Single,Yes,Had COVID,4,,,20260909
37,40,Female,No religion,Married,Yes,Had COVID,1,,,20260909
38,58,Female,Christian,Divorced,No,Had COVID,1,,,20260909
39,29,Male,Christian,Divorced,Yes,Had COVID,1,,,20260909
40,55,Female,Not answered,Married,No,None,4,,,20260909
41,73,Female,Not answered,Single,No,None,4,,,20260909
