respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed
1,28,Female,Christian,Single,Yes,None,3,,,20260909006
2,52,Female,Christian,Married,No,Had COVID,4,,,20260909006
3,39,Male,Christian,Married,Yes,None,3,,,20260909006
4,28,Male,Christian,Single,No,Had COVID,2,,,20260909006
5,41,Male,No religion,Single,Yes,None,4,,,20260909006
6,69,Female,No religion,Married,Yes,None,2,,,20260909006
7,69,Female,No religion,Married,No,Had COVID,1,,,20260909006
8,19,Male,No religion,Single,No,None,4,,,20260909006
9,24,Male,Christian,Single,No,Bereaved,1,,,20260909006
10,54,Female,No religion,Divorced,No,Had COVID,3,,,20260909006
11,51,Female,Muslim,Married,No,None,3,,,20260909006
12,73,Male,Christian,Single,No,None,4,,,20260909006
13,62,Male,Christian,Divorced,No,Bereaved,4,,,20260909006
14,47,Male,No religion,Separated,No,Had COVID,4,,,20260909006
15,34,Male,Hindu,Single,No,Had COVID,2,,,20260909006
16,48,Female,Christian,Single,Yes,Had COVID,3,,,20260909006
17,50,Female,Christian,Married,No,Bereaved,4,,,20260909006
18,52,Female,Christian,Married,No,Had COVID,1,,,20260909006
19,33,Male,Christian,Married,No,Had COVID,3,,,20260909006
20,89,Female,Christian,Married,No,None,3,,,20260909006
21,38,Male,No religion,Married,No,Had COVID,3,,,20260909006
22,46,Female,Christian,Single,Yes,Long COVID,3,,,20260909006
23,38,Female,No religion,Widowed,Yes,None,3,,,20260909006
24,34,Female,No religion,Married,Yes,None,3,,,20260909006
25,75,Male,Christian,Single,No,Had COVID,3,,,20260909006
26,48,Male,Christian,Divorced,No,Bereaved,3,,,20260909006
27,59,Female,No religion,Married,No,Bereaved,2,4,Conspiracy Ideation,20260909006
28,31,Male,No religion,Single,Yes,Had COVID,1,,,20260909006
29,68,Male,No religion,Married,No,Had COVID,4,,,20260909006
30,42,Female,No religion,Married,Yes,None,1,,,20260909006
31,46,Female,Not answered,Married,No,Had COVID,2,,,20260909006
32,23,Female,No religion,Single,No,Had COVID,3,,,20260909006
33,42,Male,No religion,Single,Yes,Had COVID,1,,,20260909006
34,48,Female,Hindu,Married,Yes,Bereaved,2,4,Conspiracy Ideation,20260909006
35,36,Male,Christian,Single,No,Bereaved,3,2,Libertarianism,20260909006
36,31,Female,Jewish,Single,Yes,Had COVID,1,,,20260909006
37,40,Female,No religion,Married,Yes,Had COVID,4,,,20260909006
38,58,Female,Christian,Divorced,No,Had COVID,1,,,20260909006
39,29,Male,Christian,Divorced,Yes,Had COVID,1,,,20260909006
40,55,Female,Not answered,Married,No,None,3,,,20260909006
41,73,Female,Not answered,Single,No,None,2,,,20260909006
42,73,Female,No religion,Widowed,No,Bereaved,3,2,Libertarianism,20260909006
43,29,Female,Christian,Single,No,None,4,4,Conspiracy Ideation,20260909006
44,74,Female,Christian,Married,No,Had COVID,2,5,Institutional Trust and Technocratic Governance,20260909006
45,29,Female,Christian,Married,No,None,3,,,20260909006
46,18,Male,Christian,Single,No,None,4,,,20260909006
47,60,Female,Muslim,Single,No,Had COVID,2,,,20260909006
48,41,Female,Not answered,Single,Yes,None,2,,,20260909006
49,29,Female,Muslim,Single,Yes,Bereaved,2,,,20260909006
50,50,Female,Christian,Married,No,Had COVID,2,,,20260909006
51,36,Male,No religion,Single,Yes,Long COVID,4,,,20260909006
52,35,Male,No religion,Married,No,None,2,,,20260909006
53,61,Female,Christian,Married,No,None,3,,,20260909006
54,41,Male,No religion,Married,Yes,Had COVID,4,3,Communitarianism,20260909006
55,67,Male,No religion,Married,No,Had COVID,3,,,20260909006
56,35,Male,Not answered,Single,No,None,4,,,20260909006
57,61,Female,No religion,Married,No,None,2,,,20260909006
58,20,Female,No religion,Single,No,None,4,,,20260909006
59,46,Male,No religion,Single,Yes,Had COVID,1,,,20260909006
60,27,Female,Christian,Single,No,Had COVID,3,,,20260909006
61,52,Female,Christian,Married,No,None,2,,,20260909006
62,58,Female,No religion,Married,No,Bereaved,2,,,20260909006
63,53,Male,Christian,Married,No,None,3,,,20260909006
64,61,Male,Christian,Married,No,None,2,,,20260909006
65,26,Female,Christian,Single,No,Long COVID,2,,,20260909006
66,28,Female,No religion,Separated,Yes,None,1,,,20260909006
67,18,Female,No religion,Single,No,Bereaved,1,,,20260909006
68,44,Female,Christian,Married,No,None,3,,,20260909006
69,72,Female,Muslim,Widowed,No,None,1,,,20260909006
70,19,Male,Hindu,Single,No,None,2,,,20260909006
71,18,Male,No religion,Single,No,None,4,,,20260909006
72,33,Female,No religion,Married,Yes,Bereaved,2,,,20260909006
73,59,Male,Muslim,Married,No,Bereaved,1,,,20260909006
74,54,Female,Christian,Married,Yes,None,2,,,20260909006
75,46,Female,No religion,Single,No,Had COVID,4,,,20260909006
76,67,Female,Christian,Widowed,No,Long COVID,1,,,20260909006
77,90,Male,Muslim,Married,No,Had COVID,1,,,20260909006
78,21,Female,Christian,Single,No,None,1,,,20260909006
79,52,Male,No religion,Married,No,Had COVID,4,,,20260909006
80,54,Female,Christian,Married,No,Had COVID,4,,,20260909006
81,31,Male,Christian,Single,Yes,Had COVID,4,,,20260909006
82,19,Male,No religion,Single,No,Had COVID,1,5,Institutional Trust and Technocratic Governance,20260909006
83,53,Female,Christian,Single,No,Had COVID,1,,,20260909006
84,43,Male,Christian,Single,No,Long COVID,1,,,20260909006
85,61,Female,No religion,Married,No,Had COVID,1,,,20260909006
86,24,Male,Christian,Single,No,None,3,5,Institutional Trust and Technocratic Governance,20260909006
87,59,Female,Christian,Single,No,Had COVID,1,,,20260909006
88,90,Female,Christian,Divorced,No,Bereaved,4,,,20260909006
89,67,Female,Christian,Widowed,No,Had COVID,3,,,20260909006
90,58,Female,Not answered,Divorced,No,Bereaved,3,,,20260909006
91,63,Male,Christian,Married,No,Had COVID,4,,,20260909006
92,54,Female,Christian,Widowed,No,None,2,,,20260909006
93,35,Male,Christian,Married,Yes,Bereaved,2,,,20260909006
94,40,Male,Not answered,Married,No,Had COVID,1,,,20260909006
95,23,Male,Christian,Single,Yes,None,4,,,20260909006
96,53,Female,Christian,Married,No,Had COVID,3,,,20260909006
97,44,Male,Christian,Single,No,None,1,,,20260909006
98,60,Female,Christian,Divorced,No,None,1,,,20260909006
99,29,Male,Christian,Single,No,Had COVID,2,,,20260909006
100,31,Male,No religion,Married,No,Had COVID,1,,,20260909006
101,56,Female,No religion,Married,No,Had COVID,4,,,20260909006
102,51,Female,No religion,Divorced,No,None,3,,,20260909006
103,62,Male,Christian,Married,No,Had COVID,2,,,20260909006
104,75,Male,Christian,Widowed,No,None,3,,,20260909006
105,57,Male,No religion,Married,No,Bereaved,3,,,20260909006
106,42,Female,No religion,Married,No,Had COVID,4,,,20260909006
107,85,Female,No religion,Widowed,No,None,4,,,20260909006
108,40,Female,No religion,Married,Yes,None,4,,,20260909006
109,52,Male,No religion,Married,No,Had COVID,1,,,20260909006
110,80,Female,Christian,Widowed,No,Bereaved,3,,,20260909006
111,60,Female,No religion,Married,No,Had COVID,4,,,20260909006
112,65,Male,Christian,Married,No,Had COVID,1,,,20260909006
113,56,Female,Christian,Married,No,Had COVID,1,,,20260909006
114,68,Male,Christian,Married,No,Had COVID,3,,,20260909006
115,55,Female,Christian,Divorced,No,None,4,,,20260909006
116,25,Female,No religion,Single,No,Had COVID,3,2,Libertarianism,20260909006
117,19,Male,Christian,Single,No,None,2,,,20260909006
118,63,Female,Muslim,Married,No,Had COVID,1,,,20260909006
119,67,Female,No religion,Divorced,No,Had COVID,1,,,20260909006
120,44,Female,No religion,Divorced,Yes,None,1,,,20260909006
121,54,Male,Christian,Married,Yes,None,3,,,20260909006
122,37,Male,Christian,Married,Yes,Had COVID,4,,,20260909006
123,57,Female,Christian,Married,No,Had COVID,3,,,20260909006
124,50,Female,Sikh,Divorced,Yes,Had COVID,1,,,20260909006
125,79,Female,No religion,Widowed,No,None,2,,,20260909006
126,49,Female,Christian,Married,Yes,Had COVID,1,,,20260909006
127,41,Male,No religion,Single,Yes,Had COVID,2,,,20260909006
128,60,Male,Christian,Divorced,No,Bereaved,1,,,20260909006
129,90,Male,Christian,Married,No,None,2,,,20260909006
130,68,Female,No religion,Divorced,No,Bereaved,3,,,20260909006
131,45,Male,No religion,Married,Yes,Had COVID,4,,,20260909006
132,36,Male,Christian,Married,No,None,3,,,20260909006
133,65,Male,Not answered,Married,No,None,1,,,20260909006
134,20,Male,Not answered,Single,No,None,2,5,Institutional Trust and Technocratic Governance,20260909006
135,33,Female,Muslim,Separated,Yes,Bereaved,1,,,20260909006
136,65,Male,Muslim,Widowed,No,Had COVID,4,,,20260909006
137,81,Female,Christian,Widowed,No,Long COVID,2,,,20260909006
138,61,Female,Muslim,Married,No,Had COVID,3,,,20260909006
139,42,Female,No religion,Married,Yes,Had COVID,4,,,20260909006
140,48,Male,Christian,Married,No,Had COVID,3,,,20260909006
141,69,Male,Christian,Married,No,Had COVID,2,,,20260909006
142,71,Female,No religion,Married,No,None,2,,,20260909006
143,26,Male,Christian,Married,No,Had COVID,2,,,20260909006
144,27,Male,No religion,Single,No,Had COVID,4,2,Libertarianism,20260909006
145,60,Female,Christian,Married,No,Had COVID,4,,,20260909006
146,27,Male,No religion,Single,No,Had COVID,1,,,20260909006
147,33,Male,No religion,Single,Yes,None,3,,,20260909006
148,40,Male,No religion,Married,No,Bereaved,3,,,20260909006
149,66,Female,No religion,Widowed,No,Bereaved,3,,,20260909006
150,54,Female,Christian,Married,No,Had COVID,4,,,20260909006
151,55,Female,No religion,Single,No,Long COVID,3,,,20260909006
152,40,Female,Christian,Single,No,Bereaved,2,,,20260909006
153,23,Male,Christian,Single,No,Had COVID,1,,,20260909006
154,25,Female,Christian,Single,No,None,3,,,20260909006
155,82,Female,Christian,Divorced,No,None,3,,,20260909006
156,30,Female,No religion,Married,Yes,Had COVID,4,,,20260909006
157,32,Male,Christian,Single,No,None,3,,,20260909006
158,40,Male,Christian,Widowed,Yes,Had COVID,2,,,20260909006
159,24,Female,Muslim,Single,No,Had COVID,1,,,20260909006
160,78,Male,Christian,Separated,No,None,4,,,20260909006
161,37,Female,No religion,Divorced,No,Had COVID,1,,,20260909006
162,34,Female,Other religion,Married,Yes,None,4,,,20260909006
163,26,Male,Christian,Single,No,Had COVID,2,,,20260909006
164,50,Male,Christian,Married,Yes,Had COVID,3,,,20260909006
165,63,Male,Christian,Divorced,No,Had COVID,2,,,20260909006
166,76,Female,Christian,Married,No,None,3,,,20260909006
167,20,Female,Christian,Single,No,Bereaved,4,,,20260909006
168,63,Female,No religion,Married,No,Bereaved,1,,,20260909006
169,64,Male,No religion,Married,No,None,4,,,20260909006
170,32,Male,Christian,Single,No,Bereaved,2,,,20260909006
171,30,Male,Christian,Single,No,Bereaved,1,,,20260909006
172,30,Female,Not answered,Married,Yes,Had COVID,4,3,Communitarianism,20260909006
173,33,Female,Christian,Single,Yes,None,3,,,20260909006
174,43,Male,Christian,Married,Yes,None,4,,,20260909006
175,58,Female,Christian,Divorced,No,Had COVID,2,,,20260909006
176,67,Male,No religion,Single,No,Had COVID,1,,,20260909006
177,57,Male,No religion,Divorced,Yes,Had COVID,4,,,20260909006
178,74,Female,Christian,Widowed,No,Bereaved,2,,,20260909006
179,62,Male,No religion,Married,No,Bereaved,3,,,20260909006
180,29,Female,Muslim,Single,No,None,3,,,20260909006
181,42,Male,Not answered,Divorced,No,None,3,,,20260909006
182,33,Female,Christian,Divorced,No,None,3,,,20260909006
183,84,Female,Other religion,Married,No,Bereaved,1,2,Libertarianism,20260909006
184,29,Male,Christian,Single,No,Bereaved,3,,,20260909006
185,34,Female,Muslim,Single,No,None,3,,,20260909006
186,68,Female,Christian,Married,No,None,1,,,20260909006
187,39,Male,Christian,Married,Yes,None,3,,,20260909006
188,19,Female,No religion,Single,No,None,3,,,20260909006
189,71,Female,No religion,Widowed,No,None,1,,,20260909006
