respondent_id,block,set,choice,seed
1,1,set5,alt2,20260909009
1,1,set6,alt1,20260909009
1,1,set9,alt2,20260909009
1,1,set11,alt2,20260909009
1,1,set18,alt2,20260909009
1,1,set19,alt2,20260909009
1,1,set33,alt1,20260909009
1,1,set35,alt2,20260909009
1,1,set37,alt1,20260909009
1,1,set41,alt1,20260909009
1,1,set42,alt2,20260909009
1,1,set48,alt2,20260909009
2,2,set1,alt2,20260909010
2,2,set2,alt1,20260909010
2,2,set7,alt1,20260909010
2,2,set8,alt1,20260909010
2,2,set10,alt1,20260909010
2,2,set13,alt1,20260909010
2,2,set36,alt1,20260909010
2,2,set38,alt2,20260909010
2,2,set40,alt1,20260909010
2,2,set44,alt2,20260909010
2,2,set45,alt2,20260909010
2,2,set46,alt2,20260909010
3,3,set3,alt2,20260909011
3,3,set4,alt2,20260909011
3,3,set12,alt1,20260909011
3,3,set22,alt2,20260909011
3,3,set24,alt1,20260909011
3,3,set25,alt1,20260909011
3,3,set28,alt1,20260909011
3,3,set29,alt1,20260909011
3,3,set30,alt2,20260909011
3,3,set31,alt2,20260909011
3,3,set39,alt2,20260909011
3,3,set47,alt2,20260909011
4,4,set14,alt2,20260909012
4,4,set15,alt2,20260909012
4,4,set16,alt1,20260909012
4,4,set17,alt1,20260909012
4,4,set20,alt1,20260909012
4,4,set21,alt1,20260909012
4,4,set23,alt1,20260909012
4,4,set26,alt1,20260909012
4,4,set27,alt2,20260909012
4,4,set32,alt1,20260909012
4,4,set34,alt2,20260909012
4,4,set43,alt1,20260909012
5,2,set1,alt2,20260909013
5,2,set2,alt1,20260909013
5,2,set7,alt1,20260909013
5,2,set8,alt1,20260909013
5,2,set10,alt2,20260909013
5,2,set13,alt1,20260909013
5,2,set36,alt2,20260909013
5,2,set38,alt2,20260909013
5,2,set40,alt2,20260909013
5,2,set44,alt1,20260909013
5,2,set45,alt2,20260909013
5,2,set46,alt1,20260909013
6,4,set14,alt1,20260909014
6,4,set15,alt2,20260909014
6,4,set16,alt2,20260909014
6,4,set17,alt2,20260909014
6,4,set20,alt1,20260909014
6,4,set21,alt1,20260909014
6,4,set23,alt1,20260909014
6,4,set26,alt1,20260909014
6,4,set27,alt1,20260909014
6,4,set32,alt1,20260909014
6,4,set34,alt2,20260909014
6,4,set43,alt2,20260909014
7,1,set5,alt2,20260909015
7,1,set6,alt2,20260909015
7,1,set9,alt2,20260909015
7,1,set11,alt2,20260909015
7,1,set18,alt2,20260909015
7,1,set19,alt2,20260909015
7,1,set33,alt1,20260909015
7,1,set35,alt2,20260909015
7,1,set37,alt1,20260909015
7,1,set41,alt2,20260909015
7,1,set42,alt2,20260909015
7,1,set48,alt2,20260909015
8,4,set14,alt2,20260909016
8,4,set15,alt2,20260909016
8,4,set16,alt1,20260909016
8,4,set17,alt1,20260909016
8,4,set20,alt1,20260909016
8,4,set21,alt1,20260909016
8,4,set23,alt1,20260909016
8,4,set26,alt1,20260909016
8,4,set27,alt2,20260909016
8,4,set32,alt1,20260909016
8,4,set34,alt2,20260909016
8,4,set43,alt1,20260909016
9,3,set3,alt1,20260909017
9,3,set4,alt2,20260909017
9,3,set12,alt1,20260909017
9,3,set22,alt1,20260909017
9,3,set24,alt1,20260909017
9,3,set25,alt1,20260909017
9,3,set28,alt1,20260909017
9,3,set29,alt1,20260909017
9,3,set30,alt2,20260909017
9,3,set31,alt2,20260909017
9,3,set39,alt2,20260909017
9,3,set47,alt2,20260909017
10,2,set1,alt2,20260909018
10,2,set2,alt1,20260909018
10,2,set7,alt1,20260909018
10,2,set8,alt1,20260909018
10,2,set10,alt1,20260909018
10,2,set13,alt1,20260909018
10,2,set36,alt2,20260909018
10,2,set38,alt2,20260909018
10,2,set40,alt2,20260909018
10,2,set44,alt1,20260909018
10,2,set45,alt2,20260909018
10,2,set46,alt1,20260909018
11,3,set3,alt1,20260909019
11,3,set4,alt2,20260909019
11,3,set12,alt1,20260909019
11,3,set22,alt1,20260909019
11,3,set24,alt1,20260909019
11,3,set25,alt1,20260909019
11,3,set28,alt1,20260909019
11,3,set29,alt1,20260909019
11,3,set30,alt2,20260909019
11,3,set31,alt2,20260909019
11,3,set39,alt2,20260909019
11,3,set47,alt2,20260909019
12,3,set3,alt1,20260909020
12,3,set4,alt2,20260909020
12,3,set12,alt1,20260909020
12,3,set22,alt1,20260909020
12,3,set24,alt1,20260909020
12,3,set25,alt1,20260909020
12,3,set28,alt1,20260909020
12,3,set29,alt1,20260909020
12,3,set30,alt2,20260909020
12,3,set31,alt2,20260909020
12,3,set39,alt2,20260909020
12,3,set47,alt2,20260909020
13,2,set1,alt2,20260909021
13,2,set2,alt1,20260909021
13,2,set7,alt1,20260909021
13,2,set8,alt1,20260909021
13,2,set10,alt1,20260909021
13,2,set13,alt1,20260909021
13,2,set36,alt2,20260909021
13,2,set38,alt2,20260909021
13,2,set40,alt2,20260909021
13,2,set44,alt1,20260909021
13,2,set45,alt2,20260909021
13,2,set46,alt1,20260909021
