Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience
28,Female,Christian,Single,Yes,None
52,Female,Christian,Married,No,Had COVID
39,Male,Christian,Married,Yes,None
28,Male,Christian,Single,No,Had COVID
41,Male,No religion,Single,Yes,None
69,Female,No religion,Married,Yes,None
69,Female,No religion,Married,No,Had COVID
19,Male,No religion,Single,No,None
24,Male,Christian,Single,No,Bereaved
54,Female,No religion,Divorced,No,Had COVID
51,Female,Muslim,Married,No,None
73,Male,Christian,Single,No,None
62,Male,Christian,Divorced,No,Bereaved
47,Male,No religion,Separated,No,Had COVID
34,Male,Hindu,Single,No,Had COVID
48,Female,Christian,Single,Yes,Had COVID
50,Female,Christian,Married,No,Bereaved
52,Female,Christian,Married,No,Had COVID
33,Male,Christian,Married,No,Had COVID
89,Female,Christian,Married,No,None
38,Male,No religion,Married,No,Had COVID
46,Female,Christian,Single,Yes,Long COVID
38,Female,No religion,Widowed,Yes,None
34,Female,No religion,Married,Yes,None
75,Male,Christian,Single,No,Had COVID
48,Male,Christian,Divorced,No,Bereaved
59,Female,No religion,Married,No,Bereaved
31,Male,No religion,Single,Yes,Had COVID
68,Male,No religion,Married,No,Had COVID
42,Female,No religion,Married,Yes,None
46,Female,Not answered,Married,No,Had COVID
23,Female,No religion,Single,No,Had COVID
42,Male,No religion,Single,Yes,Had COVID
48,Female,Hindu,Married,Yes,Bereaved
36,Male,Christian,Single,No,Bereaved
31,Female,Jewish,Single,Yes,Had COVID
40,Female,No religion,Married,Yes,Had COVID
58,Female,Christian,Divorced,No,Had COVID
29,Male,Christian,Divorced,Yes,Had COVID
55,Female,Not answered,Married,No,None
73,Female,Not answered,Single,No,None
73,Female,No religion,Widowed,No,Bereaved
29,Female,Christian,Single,No,None
74,Female,Christian,Married,No,Had COVID
29,Female,Christian,Married,No,None
18,Male,Christian,Single,No,None
60,Female,Muslim,Single,No,Had COVID
41,Female,Not answered,Single,Yes,None
29,Female,Muslim,Single,Yes,Bereaved
50,Female,Christian,Married,No,Had COVID
36,Male,No religion,Single,Yes,Long COVID
35,Male,No religion,Married,No,None
61,Female,Christian,Married,No,None
41,Male,No religion,Married,Yes,Had COVID
67,Male,No religion,Married,No,Had COVID
35,Male,Not answered,Single,No,None
61,Female,No religion,Married,No,None
20,Female,No religion,Single,No,None
46,Male,No religion,Single,Yes,Had COVID
27,Female,Christian,Single,No,Had COVID
52,Female,Christian,Married,No,None
58,Female,No religion,Married,No,Bereaved
53,Male,Christian,Married,No,None
61,Male,Christian,Married,No,None
