respondent_id,Age,Sex,Religion,MaritalStatus,LivingWithChildren,CovidExperience,assigned_block,ideology_id,ideology_name,sampling_seed,b_phmvac_basic_notavail,b_phmvac_rsc_avail,b_phmvac_rsc_notavail,b_phmvac_lockdown_avail,b_phmvac_lockdown_notavail,b_phmvac_basic_notavail_male,b_phmvac_rsc_avail_male,b_phmvac_rsc_notavail_male,b_phmvac_lockdown_avail_male,b_phmvac_lockdown_notavail_male,b_phmvac_basic_notavail_age3554,b_phmvac_rsc_avail_age3554,b_phmvac_rsc_notavail_age3554,b_phmvac_lockdown_avail_age3554,b_phmvac_lockdown_notavail_age3554,b_phmvac_basic_notavail_age55p,b_phmvac_rsc_avail_age55p,b_phmvac_rsc_notavail_age55p,b_phmvac_lockdown_avail_age55p,b_phmvac_lockdown_notavail_age55p,b_vacdisc,b_econ20,b_econ40,b_inc50,b_inc90,b_mor100,b_mor150,b_edu10
1,28,Female,Christian,Single,Yes,None,4,NA,,20260909002,-9.60195,-1.14355,-8.79923,-2.01437,-10.1892,-0.094205,-0.113494,-0.0223872,-0.054517,-0.19239,1.46801,0.840603,0.636818,0.890595,2.14038,2.14872,0.847206,1.31647,1.27554,2.29748,7.40343,-0.183489,-0.0787542,-0.263961,-0.662134,-1.40521,-3.13411,-0.18379
2,52,Female,Christian,Married,No,Had COVID,1,NA,,20260909002,-10.8566,-0.977526,-10.3182,-1.94698,-11.5381,-0.424092,-0.275508,-0.113098,-0.151724,-0.431677,1.28477,0.697402,0.593368,0.853416,1.93019,2.04993,0.791643,1.39252,1.31079,2.21311,9.00577,-0.181183,-0.0916994,-0.195132,-0.621305,-1.38683,-3.12593,-0.142332
3,39,Male,Christian,Married,Yes,None,2,3,Communitarianism,20260909002,-9.42508,-0.992711,-8.85756,-1.87517,-10.4231,-0.459615,-0.23996,-0.0281019,-0.145115,-0.239953,1.19254,0.560956,0.486244,0.799304,1.92906,1.94532,0.710052,1.36789,1.39454,2.42725,7.54193,-0.16277,-0.0965704,-0.2693,-0.651635,-1.4152,-3.12255,-0.167645
4,28,Male,Christian,Single,No,Had COVID,3,NA,,20260909002,-10.6682,-0.776272,-9.99849,-1.86661,-11.3691,-0.208456,-0.118909,0.00240084,0.13489399999999999,-0.241539,0.963092,0.368638,0.307862,0.512237,1.72547,1.71716,0.400271,1.09847,1.11617,1.98013,8.89494,-0.148998,-0.059082,-0.251244,-0.707555,-1.40965,-3.13934,-0.172953
5,41,Male,No religion,Single,Yes,None,2,NA,,20260909002,-10.1976,-0.809763,-9.66715,-1.88919,-10.9444,-0.298834,-0.134152,-0.0503774,0.0407236,-0.184735,0.964388,0.410696,0.388046,0.725965,1.5959700000000001,1.64707,0.443569,1.10957,1.23268,1.96028,8.54233,-0.183101,-0.105079,-0.251293,-0.627757,-1.36158,-3.07624,-0.215093
6,69,Female,No religion,Married,Yes,None,3,NA,,20260909002,-11.6944,-0.806786,-11.2429,-1.86863,-12.4037,-0.373241,-0.207241,-0.0979668,-0.00211022,-0.273951,1.00729,0.556517,0.642571,0.662919,1.8174,1.85547,0.585555,1.36976,1.31915,2.13891,10.0096,-0.183713,-0.134738,-0.254676,-0.630402,-1.39272,-3.10114,-0.183592
7,69,Female,No religion,Married,No,Had COVID,3,NA,,20260909002,-10.1076,-0.915352,-9.58473,-2.06644,-10.7857,-0.424584,-0.30959,0.0767804,0.00323062,-0.393224,1.2278,0.653598,0.692895,0.854533,2.09235,1.916,0.512768,1.4155,1.4891,2.22448,8.13602,-0.245689,-0.117545,-0.22909,-0.680555,-1.41883,-3.1259,-0.192192
8,19,Male,No religion,Single,No,None,4,NA,,20260909002,-9.42449,-0.684561,-8.89687,-1.88259,-10.084,-0.271022,-0.189778,-0.0635338,0.0649707,-0.364748,1.2054,0.55275,0.631184,0.828532,1.92548,1.64708,0.29248,1.23609,1.25082,1.84163,7.70347,-0.145504,-0.126283,-0.197232,-0.622589,-1.39129,-3.13386,-0.207142
9,24,Male,Christian,Single,No,Bereaved,4,NA,,20260909002,-9.52117,-0.801164,-8.92006,-1.82934,-10.1411,-0.202492,-0.182754,0.081867,0.0266032,-0.235777,1.11926,0.508741,0.634626,0.750803,1.68272,1.79598,0.445224,1.20468,1.2845,1.93463,7.65721,-0.188727,-0.134686,-0.314957,-0.643197,-1.39251,-3.13556,-0.178006
10,54,Female,No religion,Divorced,No,Had COVID,3,NA,,20260909002,-10.0909,-0.913951,-9.59418,-2.0295,-10.8781,-0.20079,-0.135737,0.0444121,0.0131425,-0.0499774,1.06412,0.653573,0.62177,0.982316,1.92942,1.78859,0.589518,1.38178,1.45171,2.11454,8.2868,-0.184734,-0.0759118,-0.252823,-0.630282,-1.37465,-3.1006,-0.193529
