participant_id,age,sex,ethnicity,region,employment_status,income_bracket,clinically_vulnerable,has_school_age_child,assigned_block,choice_string,set1_chosen,set2_chosen,set3_chosen,set4_chosen,set5_chosen,set6_chosen,set7_chosen,set8_chosen,set9_chosen,set10_chosen,set11_chosen,set12_chosen
P001,16,Female,White British,Yorkshire,Child (secondary school),Low,No,No,blk1,212222,,,,alt2,,,alt1,alt2,,alt2,alt2,alt2
P002,27,Male,White British,East of England,Unable to work,Low,No,No,blk2,212111,alt2,alt1,alt2,,alt1,alt1,,,alt1,,,
P003,51,Male,Mixed/Other,West Midlands,Unable to work,Medium,Yes,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P004,46,Male,White British,London,Homemaker,Medium,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P005,68,Female,White British,North West,Retired,Medium,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P006,73,Female,White British,South East,Retired,Low,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P007,53,Male,White British,East Midlands,Unable to work,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P008,44,Female,White British,South East,Employed,Medium,No,Yes,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P009,61,Female,White British,West Midlands,Employed,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P010,10,Male,White British,West Midlands,Child (primary school),Medium,No,No,blk2,121221,alt1,alt2,alt1,,alt2,alt2,,,alt1,,,
P011,63,Male,White British,South East,Employed,Medium,No,Yes,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P012,30,Female,Asian/Asian British,North East,Employed,Medium,No,No,blk2,222122,alt2,alt2,alt2,,alt1,alt2,,,alt2,,,
P013,25,Male,White British,North West,Homemaker,Medium,No,Yes,blk1,111122,,,,alt1,,,alt1,alt1,,alt1,alt2,alt2
P014,18,Female,White British,North East,Student,High,No,No,blk2,212121,alt2,alt1,alt2,,alt1,alt2,,,alt1,,,
P015,9,Male,White British,East Midlands,Child (primary school),Low,No,No,blk1,212121,,,,alt2,,,alt1,alt2,,alt1,alt2,alt1
P016,24,Male,White British,South West,Unable to work,High,Yes,No,blk2,212121,alt2,alt1,alt2,,alt1,alt2,,,alt1,,,
P017,32,Female,Asian/Asian British,Wales,Employed,Low,No,No,blk1,222112,,,,alt2,,,alt2,alt2,,alt1,alt1,alt2
P018,64,Female,White British,Wales,Employed,High,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P019,58,Male,White British,Wales,Homemaker,Low,No,Yes,blk1,121122,,,,alt1,,,alt2,alt1,,alt1,alt2,alt2
P020,53,Female,White British,London,Unable to work,Medium,No,Yes,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P021,44,Female,Asian/Asian British,Wales,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P022,13,Female,Mixed/Other,North West,Child (secondary school),Medium,Yes,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P023,72,Male,White British,Yorkshire,Retired,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P024,63,Male,White British,East of England,Homemaker,High,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P025,78,Female,White British,East Midlands,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P026,9,Male,White British,South West,Child (primary school),Medium,No,No,blk2,121221,alt1,alt2,alt1,,alt2,alt2,,,alt1,,,
P027,40,Female,White British,Yorkshire,Employed,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P028,17,Female,White British,Wales,Child (secondary school),Medium,No,No,blk2,121211,alt1,alt2,alt1,,alt2,alt1,,,alt1,,,
P029,55,Male,White British,Yorkshire,Employed,High,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P030,46,Female,White British,Yorkshire,Employed,Low,Yes,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
P031,40,Female,White British,South West,Employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P032,17,Female,White British,South East,Child (secondary school),Medium,No,No,blk2,222211,alt2,alt2,alt2,,alt2,alt1,,,alt1,,,
P033,89,Female,White British,West Midlands,Part-time employed,Low,No,No,blk1,121212,,,,alt1,,,alt2,alt1,,alt2,alt1,alt2
P034,57,Female,White British,South East,Employed,High,No,No,blk2,212122,alt2,alt1,alt2,,alt1,alt2,,,alt2,,,
